dataset,k,seed,layer,attribute,mi_nats,num_pairs,clusters_used
LMD-matched,1000,42,10,Tempo,0.0602011278261154,4472244,999
LMD-matched,1000,42,11,Tempo,0.0691694269086221,4472244,999
LMD-matched,1000,42,12,Tempo,0.1473566148594831,4472244,996
LMD-matched,1000,42,1,Time signature,0.0485722928495166,4472244,997
LMD-matched,1000,42,2,Time signature,0.0426938304366823,4472244,1000
LMD-matched,1000,42,3,Time signature,0.039817489754045,4472244,1000
LMD-matched,1000,42,4,Time signature,0.0330375655599969,4472244,999
LMD-matched,1000,42,5,Time signature,0.0422797075549214,4472244,995
LMD-matched,1000,42,6,Time signature,0.0415092998389131,4472244,990
LMD-matched,1000,42,7,Time signature,0.0447190654713473,4472244,896
LMD-matched,1000,42,8,Time signature,0.0421316033481011,4472244,948
LMD-matched,1000,42,9,Time signature,0.0388581081398088,4472244,999
LMD-matched,1000,42,10,Time signature,0.0495079552078727,4472244,999
LMD-matched,1000,42,11,Time signature,0.0501858654540803,4472244,999
LMD-matched,1000,42,12,Time signature,0.0716116332346681,4472244,996
LMD-matched,1000,42,1,Velocity,0.5225777661899936,4472244,997
LMD-matched,1000,42,2,Velocity,0.3881340444312606,4472244,1000
LMD-matched,1000,42,3,Velocity,0.1987630419739885,4472244,1000
LMD-matched,1000,42,4,Velocity,0.1183857918071724,4472244,999
LMD-matched,1000,42,5,Velocity,0.0986120917203842,4472244,995
LMD-matched,1000,42,6,Velocity,0.2186642076639832,4472244,990
LMD-matched,1000,42,7,Velocity,0.260306379411723,4472244,896
LMD-matched,1000,42,8,Velocity,0.3216182570210373,4472244,948
LMD-matched,1000,42,9,Velocity,0.2143379571679151,4472244,999
LMD-matched,1000,42,10,Velocity,0.2005279796559629,4472244,999
LMD-matched,1000,42,11,Velocity,0.2486437158095228,4472244,999
LMD-matched,1000,42,12,Velocity,0.9695349895172088,4472244,996
LMD-matched,1000,97,1,Bar,0.1074295751868587,4472244,1000
LMD-matched,1000,97,2,Bar,0.2279627057907859,4472244,1000
LMD-matched,1000,97,3,Bar,0.3031867044925731,4472244,1000
LMD-matched,1000,97,4,Bar,0.4392315881783801,4472244,999
LMD-matched,1000,97,5,Bar,0.5995656834674379,4472244,999
LMD-matched,1000,97,6,Bar,0.5587183038779316,4472244,998
LMD-matched,1000,97,7,Bar,0.3065304126862739,4472244,977
LMD-matched,1000,97,8,Bar,0.4083712890012788,4472244,981
LMD-matched,1000,97,9,Bar,0.4827547866187419,4472244,1000
LMD-matched,1000,97,10,Bar,0.3876675537151013,4472244,998
LMD-matched,1000,97,11,Bar,0.1391842276862874,4472244,1000
LMD-matched,1000,97,12,Bar,0.0694532367238244,4472244,1000
LMD-matched,1000,97,1,Duration,2.140359078737404,4472244,1000
LMD-matched,1000,97,2,Duration,1.4145857576219432,4472244,1000
LMD-matched,1000,97,3,Duration,1.342666445702831,4472244,1000
LMD-matched,1000,97,4,Duration,0.8005446248370939,4472244,999
LMD-matched,1000,97,5,Duration,0.6812631044732915,4472244,999
LMD-matched,1000,97,6,Duration,0.6798435873807762,4472244,998
LMD-matched,1000,97,7,Duration,0.8891144361885879,4472244,977
LMD-matched,1000,97,8,Duration,0.7385884082834456,4472244,981
LMD-matched,1000,97,9,Duration,0.589458669681863,4472244,1000
LMD-matched,1000,97,10,Duration,0.7062043196811482,4472244,998
LMD-matched,1000,97,11,Duration,0.8837365368984857,4472244,1000
LMD-matched,1000,97,12,Duration,1.1462713673700482,4472244,1000
LMD-matched,1000,97,1,Pitch,2.2935567378595207,4472244,1000
LMD-matched,1000,97,2,Pitch,2.095261881472435,4472244,1000
LMD-matched,1000,97,3,Pitch,1.7758426102701688,4472244,1000
LMD-matched,1000,97,4,Pitch,1.9818108685606652,4472244,999
LMD-matched,1000,97,5,Pitch,1.4106347830192598,4472244,999
LMD-matched,1000,97,6,Pitch,1.3903449636452878,4472244,998
LMD-matched,1000,97,7,Pitch,1.4456990074683382,4472244,977
LMD-matched,1000,97,8,Pitch,1.5393774227316506,4472244,981
LMD-matched,1000,97,9,Pitch,1.951476228158823,4472244,1000
LMD-matched,1000,97,10,Pitch,2.114640557231111,4472244,998
LMD-matched,1000,97,11,Pitch,2.79280687373792,4472244,1000
LMD-matched,1000,97,12,Pitch,3.158097028916584,4472244,1000
LMD-matched,1000,97,1,Position,0.985835366988431,4472244,1000
LMD-matched,1000,97,2,Position,1.766861497715169,4472244,1000
LMD-matched,1000,97,3,Position,2.13599692547762,4472244,1000
LMD-matched,1000,97,4,Position,1.977623430685472,4472244,999
LMD-matched,1000,97,5,Position,2.3324079474195254,4472244,999
LMD-matched,1000,97,6,Position,2.16901575792486,4472244,998
LMD-matched,1000,97,7,Position,2.125584091031784,4472244,977
LMD-matched,1000,97,8,Position,1.9320612515558688,4472244,981
LMD-matched,1000,97,9,Position,1.9366831988669972,4472244,1000
LMD-matched,1000,97,10,Position,2.338507874506491,4472244,998
LMD-matched,1000,97,11,Position,2.251160750890946,4472244,1000
LMD-matched,1000,97,12,Position,0.8512830123971065,4472244,1000
LMD-matched,1000,97,1,Instrument,1.540120265934699,4472244,1000
