dataset,k,seed,layer,attribute,mi_nats,num_pairs,clusters_used
SOD,1000,97,12,Pitch,2.849181314149219,4793154,945
SOD,1000,97,1,Position,1.032507807031845,4793154,992
SOD,1000,97,2,Position,1.4494487571252412,4793154,1000
SOD,1000,97,3,Position,1.7066026400625829,4793154,998
SOD,1000,97,4,Position,1.4145394619013612,4793154,995
SOD,1000,97,5,Position,1.868928806505723,4793154,984
SOD,1000,97,6,Position,1.6905244475587244,4793154,968
SOD,1000,97,7,Position,1.8262001744905632,4793154,873
SOD,1000,97,8,Position,1.629933511630001,4793154,878
SOD,1000,97,9,Position,1.471079171717487,4793154,985
SOD,1000,97,10,Position,1.7737996033551775,4793154,993
SOD,1000,97,11,Position,1.820149668533439,4793154,990
SOD,1000,97,12,Position,0.596802131594851,4793154,945
SOD,1000,97,1,Instrument,0.7704718756772855,4793154,992
SOD,1000,97,2,Instrument,0.579437038920896,4793154,1000
SOD,1000,97,3,Instrument,0.4185801103632604,4793154,998
SOD,1000,97,4,Instrument,0.2977906388613224,4793154,995
SOD,1000,97,5,Instrument,0.3060620522646295,4793154,984
SOD,1000,97,6,Instrument,0.3264845391072155,4793154,968
SOD,1000,97,7,Instrument,0.3409211799582741,4793154,873
SOD,1000,97,8,Instrument,0.3394370420379736,4793154,878
SOD,1000,97,9,Instrument,0.3558055088429912,4793154,985
SOD,1000,97,10,Instrument,0.3195958644978605,4793154,993
SOD,1000,97,11,Instrument,0.3244659893619842,4793154,990
SOD,1000,97,12,Instrument,0.5407880085921299,4793154,945
SOD,1000,97,1,Tempo,0.1278851015856501,4793154,992
SOD,1000,97,2,Tempo,0.0771334926138649,4793154,1000
SOD,1000,97,3,Tempo,0.0684742896656123,4793154,998
SOD,1000,97,4,Tempo,0.040306495532183,4793154,995
SOD,1000,97,5,Tempo,0.0441695303567959,4793154,984
SOD,1000,97,6,Tempo,0.0428583325587271,4793154,968
SOD,1000,97,7,Tempo,0.0599457082027143,4793154,873
SOD,1000,97,8,Tempo,0.0498898880511967,4793154,878
SOD,1000,97,9,Tempo,0.0397074921703089,4793154,985
SOD,1000,97,10,Tempo,0.0548636453697263,4793154,993
SOD,1000,97,11,Tempo,0.0627645826482452,4793154,990
SOD,1000,97,12,Tempo,0.1144595728819696,4793154,945
SOD,1000,97,1,Time signature,0.1492617412725216,4793154,992
SOD,1000,97,2,Time signature,0.1273378606775492,4793154,1000
SOD,1000,97,3,Time signature,0.1288144629363554,4793154,998
SOD,1000,97,4,Time signature,0.0845476547285867,4793154,995
SOD,1000,97,5,Time signature,0.1271275401702905,4793154,984
SOD,1000,97,6,Time signature,0.1217341583218049,4793154,968
SOD,1000,97,7,Time signature,0.153009709975267,4793154,873
SOD,1000,97,8,Time signature,0.1146515468155824,4793154,878
SOD,1000,97,9,Time signature,0.0980405946196263,4793154,985
SOD,1000,97,10,Time signature,0.1399482472432056,4793154,993
SOD,1000,97,11,Time signature,0.1455272672498642,4793154,990
SOD,1000,97,12,Time signature,0.1952302187952725,4793154,945
SOD,1000,97,1,Velocity,0.3926978347625159,4793154,992
SOD,1000,97,2,Velocity,0.2053758593182587,4793154,1000
SOD,1000,97,3,Velocity,0.1288717540214412,4793154,998
SOD,1000,97,4,Velocity,0.0450345420232645,4793154,995
SOD,1000,97,5,Velocity,0.038058656255563,4793154,984
SOD,1000,97,6,Velocity,0.0745687610671185,4793154,968
SOD,1000,97,7,Velocity,0.1106687507267097,4793154,873
SOD,1000,97,8,Velocity,0.1405409708595281,4793154,878
SOD,1000,97,9,Velocity,0.0553149955554016,4793154,985
SOD,1000,97,10,Velocity,0.0642164498402361,4793154,993
SOD,1000,97,11,Velocity,0.0820005253852109,4793154,990
SOD,1000,97,12,Velocity,0.5494005277981631,4793154,945
SOD,2000,1,1,Bar,0.2428420571239494,15660784,0
SOD,2000,1,2,Bar,0.3434820855556789,15660784,0
SOD,2000,1,3,Bar,0.356874161825065,15660784,0
SOD,2000,1,4,Bar,0.3613553694491906,15660784,0
SOD,2000,1,5,Bar,0.4587140484332059,15660784,0
SOD,2000,1,6,Bar,0.4564169240769913,15660784,0
SOD,2000,1,7,Bar,0.3623110922361128,15660784,0
SOD,2000,1,8,Bar,0.405753446799808,15660784,0
SOD,2000,1,9,Bar,0.4406267321681428,15660784,0
SOD,2000,1,10,Bar,0.3595469603483541,15660784,0
SOD,2000,1,11,Bar,0.2035139748075648,15660784,0
SOD,2000,1,12,Bar,0.1179974481421608,15660784,0
SOD,2000,1,1,Duration,1.693294347471326,15660784,0
SOD,2000,1,2,Duration,1.0141046141597518,15660784,0
SOD,2000,1,3,Duration,1.1681989159122863,15660784,0
SOD,2000,1,4,Duration,0.6923416738273381,15660784,0
SOD,2000,1,5,Duration,0.6907356442585378,15660784,0
SOD,2000,1,6,Duration,0.6637741209774333,15660784,0
SOD,2000,1,7,Duration,0.8887383558471283,15660784,0
SOD,2000,1,8,Duration,0.6800107294315968,15660784,0
SOD,2000,1,9,Duration,0.5487549928333844,15660784,0
SOD,2000,1,10,Duration,0.6649762157051828,15660784,0
SOD,2000,1,11,Duration,0.7603791530784101,15660784,0
SOD,2000,1,12,Duration,1.1075197202092968,15660784,0
SOD,2000,1,1,Pitch,1.563187791337198,15660784,0
SOD,2000,1,2,Pitch,1.8483554998005152,15660784,0
SOD,2000,1,3,Pitch,1.4492512001081015,15660784,0
SOD,2000,1,4,Pitch,1.9708086447260804,15660784,0
SOD,2000,1,5,Pitch,0.921078424848334,15660784,0
SOD,2000,1,6,Pitch,0.7613767982146147,15660784,0
SOD,2000,1,7,Pitch,0.5314834700850843,15660784,0
SOD,2000,1,8,Pitch,0.684519289388393,15660784,0
SOD,2000,1,9,Pitch,1.5520055107178503,15660784,0
SOD,2000,1,10,Pitch,2.0676368835679577,15660784,0
SOD,2000,1,11,Pitch,2.9415887454257112,15660784,0
SOD,2000,1,12,Pitch,2.709147387456562,15660784,0
SOD,2000,1,1,Position,0.8967002755872399,15660784,0
SOD,2000,1,2,Position,1.6904836055950494,15660784,0
SOD,2000,1,3,Position,1.9478557542402368,15660784,0
SOD,2000,1,4,Position,1.716988461720007,15660784,0
SOD,2000,1,5,Position,2.083938112179184,15660784,0
SOD,2000,1,6,Position,1.994326962023009,15660784,0
SOD,2000,1,7,Position,2.0310247244605573,15660784,0
SOD,2000,1,8,Position,1.9074634329599212,15660784,0
SOD,2000,1,9,Position,1.8519093430493292,15660784,0
SOD,2000,1,10,Position,2.107531645578508,15660784,0
SOD,2000,1,11,Position,2.124131368279692,15660784,0
SOD,2000,1,12,Position,0.8083749645873839,15660784,0
SOD,2000,1,1,Instrument,0.7847276658732912,15660784,0
SOD,2000,1,2,Instrument,0.7620152495822193,15660784,0
SOD,2000,1,3,Instrument,0.6504538817330393,15660784,0
SOD,2000,1,4,Instrument,0.5291053486287578,15660784,0
SOD,2000,1,5,Instrument,0.5745441762451634,15660784,0
SOD,2000,1,6,Instrument,0.5546175345161053,15660784,0
SOD,2000,1,7,Instrument,0.5498742040505149,15660784,0
SOD,2000,1,8,Instrument,0.501691137530043,15660784,0
SOD,2000,1,9,Instrument,0.608298190491502,15660784,0
SOD,2000,1,10,Instrument,0.4737351772410344,15660784,0
SOD,2000,1,11,Instrument,0.4004164792847979,15660784,0
SOD,2000,1,12,Instrument,0.783565015920425,15660784,0
SOD,2000,1,1,Tempo,0.0903282968083035,15660784,0
SOD,2000,1,2,Tempo,0.073302564024213,15660784,0
SOD,2000,1,3,Tempo,0.0755331505308365,15660784,0
SOD,2000,1,4,Tempo,0.0525542476043116,15660784,0
SOD,2000,1,5,Tempo,0.0634751343968094,15660784,0
SOD,2000,1,6,Tempo,0.0639439479302405,15660784,0
SOD,2000,1,7,Tempo,0.0743985073246114,15660784,0
SOD,2000,1,8,Tempo,0.0618144459517863,15660784,0
SOD,2000,1,9,Tempo,0.0625221962819831,15660784,0
SOD,2000,1,10,Tempo,0.0668761208935889,15660784,0
SOD,2000,1,11,Tempo,0.064393209872474,15660784,0
SOD,2000,1,12,Tempo,0.1604847169825121,15660784,0
SOD,2000,1,1,Time signature,0.1006199351180075,15660784,0
SOD,2000,1,2,Time signature,0.1147747839020385,15660784,0
SOD,2000,1,3,Time signature,0.1280108912827101,15660784,0
SOD,2000,1,4,Time signature,0.1006589630263735,15660784,0
SOD,2000,1,5,Time signature,0.1442206215125686,15660784,0
SOD,2000,1,6,Time signature,0.1323057205621386,15660784,0
